0402, 화, 1 3 4 9
0403, 화, 1 2 3 4 5 6 7 8 9
0404, 화, 7 8 9
0405, 화, 1 2 3 9
0409, 화, 3 4 9
0410, 화, 4 7 8 9
0411, 화, 3 7 8 9
0412, 화, 4 9
0413, 화, 
0415, 화, 1 2 3 4 9
0416, 화, 1 8 9
0501, 화, 3 4
0502, 화, 1 2 3 7 8 9
0503, 화, 9
0504, 화, 1 2 3 4 5 6 7 8 9
0505, 화, 1 2 3 4 5 6 7 8 9
0506, 화, 1 2 3 4 5 6 7 8 9
0508, 화, 5 6 7 8 9
0509, 화, 9
0511, 화, 4 5 6 7 8 9
0512, 화, 1 2 9
0513, 화, 5 6 7 8 9
0514, 화, 1 2 7 8 9
0515, 화, 3 4
0516, 화, 7 8 9
0517, 화, 3 4 7 8 9
0518, 화, 9
0604, 화, 3 4 8 9
1206, 화, 1 2 3 4 5 6 9
1301, 화, 1 2 3 4 5 6 7 8 9
1302, 화, 9
1303, 화, 7 8 9
1304, 화, 1 2 3 4 5 6 7 8 9
1305, 화, 1 2 3 4 7 8 9
1306, 화, 9
1307, 화, 9
1308, 화, 9
1309, 화, 1 2 9
1310, 화, 7 8
1311, 화, 7 8 9
1312, 화, 9
1313, 화, 9
1314, 화, 
1334, 화, 3 4 5 6 7 8 9
1401, 화, 1 2 3 4 5 6 7 8 9
1402, 화, 7 8 9
1403, 화, 1 2 3 9
1409, 화, 4 7 8 9
1410, 화, 7 8 9
1411, 화, 9
1501, 화, 7 8 9
1502, 화, 
1503, 화, 7 8 9
1504, 화, 1 2 3 4 5 6 7 8 9
1505, 화, 7 8 9
1506, 화, 7 8 9
1507, 화, 1 2 3 4 9
1509, 화, 9
1510, 화, 1 2 5 6 7 8 9
1511, 화, 1 2 7 8 9
1512, 화, 
1513, 화, 7 8 9
1514, 화, 
2201, 화, 1 2 5 6 7 8
2213, 화, 
2214, 화, 9
2301, 화, 1 2 5 6 9
2302, 화, 
2303, 화, 
2305, 화, 1 2 7 8 9
2306, 화, 1 2 9
2307, 화, 9
2308, 화, 1 2 9
2309, 화, 9
2310, 화, 1 2
2311, 화, 1 2
2312, 화, 9
2313, 화, 3
2314, 화, 1 2 3 9
2315, 화, 7 8 9
2401, 화, 1 2 3 4 5 6 9
2402, 화, 1 2 7 8 9
2403, 화, 1 2 9
2404, 화, 7 8 9
2406, 화, 9
2407, 화, 7 8 9
2408, 화, 9
2409, 화, 3 4 9
2410, 화, 1 2 5 6 7 8 9
2411, 화, 4 5 6 7 8 9
2412, 화, 1 2 9
2413, 화, 1 2 3 4 9
2414, 화, 
2415, 화, 1 2 5 6 7 8 9
2416, 화, 7 8 9
2417, 화, 1 2 5 6 9
2501, 화, 1 2 3 4 5 6 9
2502, 화, 1 2 3 4 9
2503, 화, 1 2 5 6 9
2504, 화, 1 2 5 6 9
2506, 화, 1 2 3 4 9
2507, 화, 1 2 7 8 9
2508, 화, 1 2 7 8 9
2509, 화, 1 2 3 4 7 8 9
2510, 화, 1 2 5 6 7 8 9
2511, 화, 1 2 3 7 8 9
2512, 화, 1 2 3 4 5 6 9
2513, 화, 5 6 9
2514, 화, 1 2 3
2515, 화, 1 2 3 4 5 6 7 8 9
2516, 화, 1 2 3 4 5 6 7 8 9
2517, 화, 1 2 3 4 5 6 7 8 9
3112, 화, 1 2 3 4 5 6 7 8 9
3114, 화, 
3118, 화, 1 2 3 4 7 8 9
3310, 화, 1 2 3 4 5 6 7 8 9
3311, 화, 4 7 8 9
3315, 화, 1 2 3 4 5 6 9
3411, 화, 1 2 5 6 7 8
3413, 화, 1 2 3 4 5 9
3511, 화, 1 2 3 4 5 6 7 8 9
3515, 화, 1 2 3 4 5 6 7 8 9
4207, 화, 
4210, 화, 1 2 3
4212, 화, 7 8 9
4213, 화, 1 2 3 7 8 9
4214, 화, 1 2 3 4 5 6 9
4215, 화, 1 2
4216, 화, 1 2 3
4219, 화, 4 5 6
4402, 화, 1 2 3 7 8 9
4403, 화, 
4404, 화, 1 2 3 7 8 9
4405, 화, 1 2 3 4 5 6 7 8 9
4411, 화, 1 2 3 4 5 6 7 8 9
4415, 화, 1 2 3
4417, 화, 
4418, 화, 1 2 3 4 7 8 9
4419, 화, 1 2 3 7 8 9
5101, 화, 1 2 3 4 7 8
5109, 화, 1 5 6 7 8 9
5201, 화, 4 5 6 7 8 9
5203, 화, 1 2 7 8 9
5206, 화, 1 2 3 4 5 6 7 8 9
5207, 화, 1 2 3 4 9
5208, 화, 1 2 3 4 5 6 7 8 9
5212, 화, 1 2 3 4 5 6 7 8 9
5213, 화, 1 4 5 6 7 8
5214, 화, 1 2 3 4 5 6 7 8 9
5301, 화, 2 3 4 5 6 7 8 9
5307, 화, 1 2 3 9
5308, 화, 1 2 4 9
5309, 화, 1 2 7 8 9
5310, 화, 1 2 3
5311, 화, 1 2 3 4 5 6 7 8 9
5312, 화, 1 2 3 4 7 8 9
5313, 화, 3 4 5 6 9
5314, 화, 1 2 7
5402, 화, 1 2 4 9
5403, 화, 3 4 5 6 7 8 9
5405, 화, 1 4 9
5406, 화, 9
6B01, 화, 1 2 7 8 9
0102, 수, 1 2 3 4 5 6 7 8 9
0104, 수, 1 2 3 4 5 6 7 8 9
0206, 수, 5 6 9
0207, 수, 1 2 9
0209, 수, 9
0212, 수, 1 2 3 4 5 6 7 8 9
0213, 수, 1 2 3 4 5 6 7 8 9
0214, 수, 9
0301, 수, 3 4 5
0302, 수, 1 9
0303, 수, 1 2 7 8 9
0304, 수, 1 2 7 8 9
0305, 수, 1 2 9
0306, 수, 9
0309, 수, 4 7 8 9
0310, 수, 7 8 9
0311, 수, 3 9
0401, 수, 7 8 9
0402, 수, 1 2 7 8 9
0403, 수, 9
0404, 수, 9
0405, 수, 9
0409, 수, 9
0410, 수, 4 9
0411, 수, 4 9
0412, 수, 
0413, 수, 4 5 6
0415, 수, 4 9
0416, 수, 1 8
0501, 수, 3 4 9
0502, 수, 4 7 8 9
0503, 수, 3 4 5 6 7 8 9
0504, 수, 1 2 3 4 6 7 8 9
0505, 수, 1 2 3 4 5 8 9
0506, 수, 4 9
0508, 수, 1 3 4 9
0509, 수, 9
0511, 수, 9
0512, 수, 1 2 9
0513, 수, 8 9
0514, 수, 4 5 6 7 8 9
0515, 수, 4 5 6
0516, 수, 2 5 6 7 8 9
0517, 수, 3 4
0518, 수, 1 2
0604, 수, 
1206, 수, 1 2 3 4 5 6 7 8 9
1301, 수, 4 5 6 7 8 9
1302, 수, 4 9
1303, 수, 1 2 9
1304, 수, 1 2 3 4 5 6 7 8 9
1305, 수, 1 2 3 4 7 8 9
1306, 수, 1 2
1307, 수, 9
1308, 수, 1 2 5 6 9
1309, 수, 4 7 8 9
1310, 수, 1 2 7 8 9
1311, 수, 7 8 9
1312, 수, 7 8 9
1313, 수, 4 9
1314, 수, 9
1334, 수, 1 2 3 4 5 6 7 8 9
1401, 수, 1 2 7 8 9
1402, 수, 7 8
1403, 수, 1 2 7 8 9
1409, 수, 1 2
1410, 수, 7 8 9
1411, 수, 9
1501, 수, 7 8
1502, 수, 9
1503, 수, 9
1504, 수, 9
1505, 수, 9
1506, 수, 9
1507, 수, 1 2 9
1509, 수, 9
1510, 수, 1 2
1511, 수, 7 8 9
1512, 수, 9
1513, 수, 
1514, 수, 9
2201, 수, 3 9
2213, 수, 4 9
2214, 수, 
2301, 수, 1 2 9
2302, 수, 
2303, 수, 9
2305, 수, 1 2 3 4 5 6 7 8 9
2306, 수, 5 6 9
2307, 수, 1 2 9
2308, 수, 5 6 9
2309, 수, 1 2 3 4 9
2310, 수, 3 4 9
2311, 수, 
2312, 수, 9
2313, 수, 4
2314, 수, 1 2
2315, 수, 9
2401, 수, 1 2 9
2402, 수, 5 6
2403, 수, 9
2404, 수, 1 2 9
2406, 수, 1 2 9
2407, 수, 4 5 6 7 8 9
2408, 수, 9
2409, 수, 1 2 3 4 5 6 7 8 9
2410, 수, 1 2 3 4 5 6 7 8 9
2411, 수, 1 2 3 4 5 6 7 8 9
2412, 수, 3 9
2413, 수, 1 2 3 4 5 6 9
2414, 수, 
2415, 수, 1 2 5 6 7 8 9
2416, 수, 1 2 9
2417, 수, 1 2 5 6 7 8 9
2501, 수, 9
2502, 수, 9
2503, 수, 9
2504, 수, 
2506, 수, 1 2 3 7 8 9
2507, 수, 1 2 7 8 9
2508, 수, 1 2 3 4 5 6 7 8 9
2509, 수, 1 2 3 7 8 9
2510, 수, 1 2 3 4 5 6 7 8 9
2511, 수, 1 2 3 4 5 6 7 8 9
2512, 수, 1 2 3 4 5 6 7 8 9
2513, 수, 1 2 3 4 5 6 7 8 9
2514, 수, 1 2 3 4 5 6 7 8 9
2515, 수, 1 2 3 4 5 6 7 8 9
2516, 수, 4 5 6 7 8 9
2517, 수, 1 2 3 4 5 6
3112, 수, 4 5 6 9
3114, 수, 1 2 9
3118, 수, 1 2 3 4 5 6 7 8 9
3310, 수, 4 7 8 9
3311, 수, 4 9
3315, 수, 1 2 3 4 5 6
3411, 수, 1 2 3 4 5 6 7 8 9
3413, 수, 1 2 3 4 5 6 7 8 9
3511, 수, 1 2 3 4 9
3515, 수, 1 2 3 4 5 6
4207, 수, 1 2 3 4 5 6
4210, 수, 
4212, 수, 1 2 3 4 5 6 7 8 9
4213, 수, 1 2 3 4 5 6
4214, 수, 1 2 3 7 8 9
4215, 수, 1 2 3
4216, 수, 
4219, 수, 4 5 6 7 8 9
4402, 수, 7 8 9
4403, 수, 
4404, 수, 
4405, 수, 1 2 3 4 5 6 7 8 9
4411, 수, 7 8 9
4415, 수, 7 8 9
4417, 수, 1 2 3
4418, 수, 1 2 3
4419, 수, 1 2 3 4 5 6 7 8 9
5101, 수, 1 2 9
5109, 수, 1 2 3 4 5 6 7 8 9
5201, 수, 7 8
5203, 수, 5 6 7 8 9
5206, 수, 1 2 3 4 5 6
5207, 수, 1 2 4 5 6
5208, 수, 1 2
5212, 수, 1 2 3 4 5 6 7 8 9
5213, 수, 4 9
5214, 수, 1 2 3 4 5 6 7 8 9
5301, 수, 1 2 3 7 8
5307, 수, 1 2 3 4 5 6 7 8 9
5308, 수, 1 2 3 4 5 7 8 9
5309, 수, 6 7 8 9
5310, 수, 3 4 5 6 7 8 9
5311, 수, 1 2 3 4 5 6 7 8 9
5312, 수, 3 4 5 6 7 8 9
5313, 수, 1 2 3 4 5 6 7 8 9
5314, 수, 1 2 3 9
5402, 수, 1 2 3 4 6 9
5403, 수, 2 4 5 6
5405, 수, 9
5406, 수, 1 2
6B01, 수, 1 2 3 4 5 6 7 8 9
0102, 목, 1 2 3 4 5 6 7 8 9
0104, 목, 1 2 5 6 7 8 9
0206, 목, 1 2 3 6 7 8 9
0207, 목, 1 2 9
0209, 목, 1 9
0212, 목, 4 5 6
0213, 목, 1 2 3 4 5 6 7 8 9
0214, 목, 4 9
0301, 목, 3 4 5 6
0302, 목, 2 4 7 8 9
0303, 목, 1 2 3 4 5 6 9
0304, 목, 1 2 9
0305, 목, 7 8 9
0306, 목, 1 2 5 6 9
0309, 목, 7 8 9
0310, 목, 4 8 9
0311, 목, 9
0401, 목, 1 2 3 4 9
0402, 목, 1 2 3 4 9
0403, 목, 1 2 3
0404, 목, 9
0405, 목, 3 4 5 6 7 8 9
0409, 목, 9
0410, 목, 1 2 5 6 9
0411, 목, 7 8 9
0412, 목, 
0413, 목, 1 2 3 4 5 6 9
0415, 목, 
0416, 목, 
0501, 목, 3 4 7 8 9
0502, 목, 1 2
0503, 목, 7 8 9
0504, 목, 1 2 7 8 9
0505, 목, 4 5 6 7 8 9
0506, 목, 5 6 7 8 9
0508, 목, 1 2 7 8 9
0509, 목, 9
0511, 목, 7 8 9
0512, 목, 9
0513, 목, 3 4 9
0514, 목, 1 2 7 8 9
0515, 목, 3 4 9
0516, 목, 1 2 7 8 9
0517, 목, 3 4 7 8 9
0518, 목, 1 2 3 4 9
0604, 목, 3 4 5 8 9
1206, 목, 1 2 3 4 5 6 7 8 9
1301, 목, 1 2 3 4 5 6 7 8 9
1302, 목, 9
1303, 목, 9
1304, 목, 1 2 7 8 9
1305, 목, 1 2 3 4 5 6 7 8 9
1306, 목, 1 2 9
1307, 목, 1 2 9
1308, 목, 1 2 7 8
1309, 목, 1 2 9
1310, 목, 1 2 5 6 9
1311, 목, 7 8 9
1312, 목, 9
1313, 목, 
1314, 목, 7 8 9
1334, 목, 1 2 3 4 5 6 7 8 9
1401, 목, 1 2 5 6 7 8 9
1402, 목, 6 7 8 9
1403, 목, 4 9
1409, 목, 3 7 8
1410, 목, 1 2 3 9
1411, 목, 5
